Name	Type of content	Date (YYYY-MM-DD)	Role	Upgrades	Link
Cerebras	Company profile	2024-06-15	Co-author	10	https://www.turingpost.com/p/cerebras
Moonshot AI: The Chinese Unicorn Revolutionizing Long-Context AI	Company profile	2024-05-11	Co-author	5	https://www.turingpost.com/p/moonshotai
Zhipy AI	Company profile	2024-05-04	Co-author	5	https://www.turingpost.com/p/zhipu
Snowflake	Company profile	2024-04-27	Co-author	2	https://www.turingpost.com/p/snowflake
CoreWeave	Company profile	2024-03-09	Co-author	11	https://www.turingpost.com/p/coreweave
Scale AI	Company profile	2024-02-24	Author	7	https://www.turingpost.com/p/scale-ai
